Jiepang ,Location based mobile social network. In Chinese language ,2010,"3,000,000[169] ",Open ,"14,790[170]"
Kaixin001 ,General. In Simplified Chinese; caters for mainland China users ,Open to the General Public ,284[171],,
Kiwibox ,General. ,1999,"2,400,000[172] ",Open to people 13 and older ,"104,563[173]"
Lafango ,Talent-Focused media sharing site ,"Open, Global ","161,778[174]",,
LaiBhaari ,Marathi social networking ,2010,250000,Open ,"952,782[175]"
Last.fm ,Music ,2002,"30,000,000[176] ",Open ,772[177]
LibraryThing ,Book lovers ,29 August 2005 ,"1,300,000[178] ",Open to people 13 and older ,"10,800[179]"
Lifeknot ,"Shared interests, hobbies ",Open to people 18 and older ,"1,071,686[180]",,
LinkedIn ,Business and professional networking ,May 2003 ,"200,000,000[181] ",Open to people 18 and older ,12[182]
LinkExpats ,Social networking website for expatriates. 100+ countries. ,"Open, Global ","800,451[183]",,
Listography ,Lists. Autobiography ,Open ,"92,525[184]",,
LiveJournal ,Blogging. Popular in Russia and among the Russian-speaking diaspora abroad. ,15 April 1999 ,"17,564,977[185] ",Open (OpenID) ,115[186]
Livemocha ,Online language learning ,"5,000,000[187] ",Open ,"4,100[188]",
Makeoutclub ,General ,9 August 1999 ,Open ,"756,300[189]",
MEETin ,General ,Open ,"318,979[190]",,
Meetup (website) ,General. Used to plan offline meetings for people interested in various activities ,Open to people 18 and older ,481[191],,
Meettheboss ,"Business and Finance community, worldwide. ",Open ,"315,513[192]",,
MillatFacebook ,"General, Created in Response to Facebook [193] ",May 2010 ,"461,200[194] ",Open ,"236,663[195]"
mixi ,Japan ,25 October 2000 ,"24,323,160[196] ",Open ,232[197]
MocoSpace ,"mobile community, worldwide ",2005,"3,000,000[198] ",Open to people 14 and older ,"9,882[199]"
MOG ,Music ,Open to people 14 and older ,"13,955[200]",,
MouthShut.com ,"Social Network, social media, consumer reviews ",Open ,"3,340[201]",,
Mubi ,Auteur cinema ,200000,Open ,"18,225[202]",
MyHeritage ,family-oriented social network service ,"30,000,000 [203] ",Open ,"3,756[204]",
MyLife ,"Locating friends and family, keeping in touch (formerly Reunion.com) ","51,000,000[205] ",Open ,"1,765[206]",
My Opera ,"Blogging, mobile blogging, photo sharing, connecting with friends, Opera Link and Opera Unite. Global ","7,300,000[207] ",Closed ,NA[n 3],
Myspace ,General ,August 2003 ,"30,000,000+[208][209] ",Open to ages 13 and older. ,161[210]
