jobId,Job Type,State,Start Time,Duration
job_GBDRqmeBTW1uqP0z5JQYux67fAE,query,SUCCESS,11 Mar 10:08:46,0:00:00
job_JRVTd91O7wGA9vMy_QE3XlGeVM8,query,SUCCESS,11 Mar 10:08:44,0:00:00
job_kYETapSfMfC3t16ooCfKPKN7Q9I,query,SUCCESS,11 Mar 10:08:42,0:00:00
job_ntUY9I-BYOyNZOGsB3ZyMSFup3U,query,SUCCESS,11 Mar 10:08:40,0:00:00
job_yHPZ2TSJt6t1Zz0lVjVJTMJkwyo,query,SUCCESS,11 Mar 10:08:39,0:00:00
job_AWv-OFIqPVtxSeQZ_XcQBC4m07g,query,SUCCESS,11 Mar 10:03:23,0:00:01
job_3ndzd53EfPudYUZHQ8etEkh4n_I,query,SUCCESS,11 Mar 10:03:19,0:00:02
bquijob_5707edc_153651e48d4,query,SUCCESS,11 Mar 09:59:57,0:00:02
bquijob_4813e1b2_153651c7e74,query,SUCCESS,11 Mar 09:57:59,0:00:02
bquijob_2f494c83_153651c585f,query,FAILURE,11 Mar 09:57:50,0:00:00
job_uyCSpfMvbZSD2-S_MWLtCZap7w4,query,SUCCESS,11 Mar 09:50:24,0:00:02
job_TmA2V8K46VNDydchmLY_st-1KuM,query,SUCCESS,11 Mar 09:46:01,0:00:02
job_xsjvX48VtSQos0O4kqwplZF2BjE,query,SUCCESS,11 Mar 09:44:30,0:00:03
bquijob_61940644_15365045522,query,SUCCESS,11 Mar 09:31:36,0:00:03
bquijob_6204aa69_1536503d45b,query,SUCCESS,11 Mar 09:31:03,0:00:11
bquijob_220084a9_15364fe1b74,query,SUCCESS,11 Mar 09:24:48,0:00:02
bquijob_4eb52e6e_15364fc8c92,query,SUCCESS,11 Mar 09:23:06,0:00:02
bquijob_7c02788_15364f292c4,query,SUCCESS,11 Mar 09:12:12,0:00:21
bquijob_5bc48bd2_15364ea9872,query,SUCCESS,11 Mar 09:03:30,0:00:04
bquijob_42db0550_15364e9d894,query,FAILURE,11 Mar 09:02:40,0:00:00
bquijob_18c8e444_15364e5e9ff,query,SUCCESS,11 Mar 08:58:23,0:00:04
bquijob_2345ef26_15364e11634,query,SUCCESS,11 Mar 08:53:06,0:00:04
bquijob_49755684_15364dd44ac,query,SUCCESS,11 Mar 08:48:56,0:00:02
bquijob_5c7c36d2_153626ca504,query,SUCCESS,10 Mar 21:26:41,0:00:01
bquijob_74ccbd6e_153626c0625,query,SUCCESS,10 Mar 21:26:00,0:00:01
bquijob_79d0135c_153626bc044,query,FAILURE,10 Mar 21:25:42,0:00:00
bquijob_1e63f1d8_153626b9993,query,FAILURE,10 Mar 21:25:32,0:00:00
bquijob_22a159d3_153626b6fae,query,FAILURE,10 Mar 21:25:21,0:00:01
bquijob_437b9721_153626ad327,query,FAILURE,10 Mar 21:24:41,0:00:00
bquijob_217881a0_153626a6bff,query,SUCCESS,10 Mar 21:24:15,0:00:01
bquijob_74629e1f_15362691026,query,SUCCESS,10 Mar 21:22:46,0:00:01
bquijob_67622f53_1536268bc6b,query,FAILURE,10 Mar 21:22:29,0:00:00
bquijob_37f90bf4_15362683e44,query,SUCCESS,10 Mar 21:21:52,0:00:01
bquijob_6254647c_1535d8e93bb,query,SUCCESS,09 Mar 22:45:40,0:00:08
bquijob_5e8f8bbd_1535d8d36e2,query,SUCCESS,09 Mar 22:44:09,0:00:04
bquijob_4f144b3b_1535d8d091b,query,FAILURE,09 Mar 22:43:57,0:00:01
bquijob_676f632b_1535d8cb56e,query,SUCCESS,09 Mar 22:43:36,0:00:02
bquijob_1f6a0dcd_1535d8c4fdd,query,FAILURE,09 Mar 22:43:10,0:00:00
bquijob_5e8b4332_1535d8b104f,query,FAILURE,09 Mar 22:41:49,0:00:00
bquijob_785105b4_1535d8ab9af,query,FAILURE,09 Mar 22:41:26,0:00:00
bquijob_43c7fb68_1535d8a1290,query,SUCCESS,09 Mar 22:40:43,0:00:01
bquijob_3faf63e5_1535d897ff3,query,SUCCESS,09 Mar 22:40:06,0:00:01
bquijob_5739504_1535d8755a0,query,SUCCESS,09 Mar 22:37:45,0:00:00
bquijob_5497ec1a_1535d86bd3d,query,SUCCESS,09 Mar 22:37:05,0:00:00
bquijob_376e506e_1535d868660,query,SUCCESS,09 Mar 22:36:51,0:00:01
