repository_organization,Unnamed: 0,Repos,ReposWhichAreForks,PushEvents,Pushers,FirstPush,LastPush,PushDurationDays,repository_homepages,repository_owners,repository_languages,WatchEvents,ForkEvents,IssuesEvents,IssueCommentEvents,DownloadEvents,PullRequestsClosed,PullRequestsMerged,SO_repos_linked_to,SO_posts_linking_to_orgs_repos,SO_answers_linking_to_orgs_repos,org_created,TempTable,blog,FirstEvent,EarlyEvents,MinsTo20Events,First20_Creates,First20_Forks,First20_Pushes,First20_WatchEvents,First20_IssueEvents,First20_PullRequests,First20_DistinctRepos,First20_OtherEvents,Event20Time,type
,12412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wapm,wapm,7.0,0.0,66.0,2.0,1352517170.0,1358960237.0,75.0,0.0,1.0,1.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,0.0
washingtonpost,washingtonpost,12.0,5.0,288.0,5.0,1342577996.0,1384990531.0,491.0,2.0,1.0,4.0,41.0,14.0,4.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,2012-07-01 00:00:00,5.0,http://developer.washingtonpost.com,,20.0,8564.4,2.0,2.0,11.0,0.0,2.0,0.0,4.0,2.0,2012-07-18 14:05:08,3.0
wbi0737,wbi0737,4.0,0.0,15.0,2.0,1364075968.0,1366057887.0,23.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
webdetails,webdetails,45.0,20.0,5982.0,29.0,1331482799.0,1385388532.0,624.0,8.0,2.0,5.0,98.0,109.0,54.0,85.0,0.0,89.0,89.0,0.0,0.0,0.0,2011-11-00 00:00:00,0.0,www.webdetails.pt,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
webflow,webflow,3.0,3.0,6.0,1.0,1366237685.0,1377967598.0,136.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-11-03 00:00:00,0.0,www.webflow.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
websdotcom,websdotcom,10.0,10.0,46.0,8.0,1333997113.0,1384984856.0,591.0,6.0,2.0,3.0,4.0,15.0,2.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0,2010-05-00 00:00:00,0.0,http://www.webs.com/,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
wemakeawesomeshit,wemakeawesomeshit,9.0,1.0,67.0,3.0,1351310194.0,1382795141.0,365.0,2.0,1.0,4.0,9.0,4.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2012-06-02 00:00:00,5.0,http://wemakeawesomesh.it,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
whatwg,whatwg,21.0,2.0,1260.0,12.0,1346485328.0,1385391550.0,451.0,18.0,1.0,4.0,117.0,28.0,14.0,71.0,0.0,19.0,13.0,0.0,0.0,0.0,2012-08-02 00:00:00,4.0,http://www.whatwg.org/,,20.0,23186.83,8.0,0.0,12.0,0.0,0.0,0.0,5.0,8.0,2012-09-13 08:25:57,3.0
whytedev,whytedev,2.0,1.0,16.0,3.0,1351984792.0,1365888162.0,161.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000-01-01 00:00:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,1.0
wicketstuff,wicketstuff,3.0,0.0,500.0,19.0,1331556737.0,1385372015.0,623.0,3.0,2.0,2.0,169.0,167.0,156.0,430.0,0.0,107.0,100.0,2.0,22.0,18.0,2010-07-00 00:00:00,0.0,http://wicketstuff.org,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,2.0
widop,widop,21.0,11.0,481.0,7.0,1332243101.0,1385241124.0,614.0,3.0,1.0,3.0,89.0,43.0,81.0,158.0,0.0,61.0,87.0,0.0,0.0,0.0,2011-11-00 00:00:00,0.0,www.widop.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
workhub,workhub,2.0,0.0,124.0,1.0,1342519358.0,1343503872.0,12.0,0.0,1.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-10-02 00:00:00,0.0,http://www.workhub.com,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0000-00-00 00:00:00,3.0
