Computer-aided	    GLM 	 Gerber file
Computer-aided	    GRB 	 KernelCAD model
Computer-aided	    GTC 	 T-FLEX CAD File
Computer-aided	    IAM 	 GRAITEC Advance file format
Computer-aided	    ICD 	 Autodesk Inventor Assembly file
Computer-aided	    IDW 	 IronCAD 2D CAD file
Computer-aided	    IFC 	 Autodesk Inventor Drawing file
Computer-aided	    IGES 	 buildingSMART for sharing AEC and FM data
Computer-aided	    Intergraph's Intergraph Standard File Formats	 Initial Graphics Exchange Specification
Computer-aided	    IPN 	
Computer-aided	    IPT 	 Autodesk Inventor Presentation file
Computer-aided	    JT (visualization format) Jupiter Tesselation	 Autodesk Inventor Part file
Computer-aided	    MCD 	
Computer-aided	    model 	 Monu-CAD (Monument/Headstone Drawing file)
Computer-aided	    OCD 	 CATIA V4 part document
Computer-aided	    PAR 	 Orienteering Computer Aided Design (OCAD) file
Computer-aided	    PIPE 	 Solidedge Part
Computer-aided	    PLN 	 PIPE-FLO Professional Piping system design file
Computer-aided	    PRT 	 ArchiCad project
Computer-aided	    PSM 	 NX (recently known as Unigraphics), Pro/ENGINEER Part, CADKEY Part
Computer-aided	    PSMODEL 	 Solidedge Sheet
Computer-aided	    PWI 	 PowerSHAPE Model
Computer-aided	    PYT 	 PowerINSPECT File
Computer-aided	    SKP 	 Pythagoras File
Computer-aided	    RLF 	 SketchUp Model
Computer-aided	    RVT 	 ArtCAM Relief
Computer-aided	    RFA 	 AutoDesk Revit project files
Computer-aided	    S12 	 AutoDesk Revit family files
Computer-aided	    SCAD 	 Spirit file, by Softtech
Computer-aided	    SCDOC 	 OpenSCAD 3D part model
Computer-aided	    SLDASM 	 SpaceClaim 3D Part/Assembly
Computer-aided	    SLDDRW 	 SolidWorks Assembly drawing
Computer-aided	    SLDPRT 	 SolidWorks 2D drawing
Computer-aided	    Softimage's dotXSI	 SolidWorks 3D part model
Computer-aided	    STEP 	
Computer-aided	    STL 	 Standard for the Exchange of Product model data
Computer-aided	    TCT 	 Stereo Lithographic data format used by various CAD systems and stereo lithographic printing machines.
Computer-aided	    TCW 	 TurboCAD drawing template
Computer-aided	    UNV 	 TurboCAD for Windows 2D and 3D drawing
Computer-aided	    VC6 	 I-DEAS I-DEAS (Integrated Design and Engineering Analysis Software)
Computer-aided	    VLM 	 Ashlar-Vellum Graphite 
Computer-aided	    VS 	 Ashlar-Vellum Vellum, Vellum 2D, Vellum Draft, Vellum 3D, DrawingBoard
Computer-aided	    WRL 	 Ashlar-Vellum Vellum Solids
Computer-aided	    XE 	 Similar to STL, but includes color. Used by various CAD systems and 3D printing rapid prototyping machines. Also used for VRML models on the web.
		 Ashlar-Vellum Xenon 
Electronic design automation (EDA)	Electronic design automation (EDA)	
Electronic design automation (EDA)	Electronic design automation (EDA), or electronic computer-aided design (ECAD), is specific to the field of electrical engineering.	
Electronic design automation (EDA)	    BRD 	
Electronic design automation (EDA)	    BSDL 	
Electronic design automation (EDA)	    CDL 	 Board file for EAGLE Layout Editor, a commercial PCB design tool
Electronic design automation (EDA)	    CPF 	 Description language for testing through JTAG
Electronic design automation (EDA)	    DEF 	 Transistor-level netlist format for IC design
Electronic design automation (EDA)	    DSPF 	 Power-domain specification in SoC implementation (see also UPF)
Electronic design automation (EDA)	    EDIF 	 Gate-level layout
Electronic design automation (EDA)	    FSDB 	 Detailed Standard Parasitic Format, Analog-level parasitics of interconnections in IC design
Electronic design automation (EDA)	    GDSII 	 Vendor neutral gate-level netlist format
Electronic design automation (EDA)	    HEX 	 Analog waveform format (see also Waveform viewer)
Electronic design automation (EDA)	    LEF 	 Format for PCB and layout of integrated circuits
Electronic design automation (EDA)	    LIB 	 ASCII-coded binary format for memory dumps
Electronic design automation (EDA)	    MS12 	 Library Exchange Format, physical abstract of cells for IC design
Electronic design automation (EDA)	    OASIS 	 Library modeling (function, timing) format
Electronic design automation (EDA)	    OpenAccess 	 NI Multisim file
Electronic design automation (EDA)	    SDC 	 Open Artwork System Interchange Standard
Electronic design automation (EDA)	    SDF 	 Design database format with APIs
Electronic design automation (EDA)	    SPEF 	 Synopsys Design Constraints, format for synthesis constraints
Electronic design automation (EDA)	    SPI, CIR 	 Standard for gate-level timings
Electronic design automation (EDA)	    SREC, S19 	 Standard format for parasitics of interconnections in IC design
Electronic design automation (EDA)	    STIL 	 SPICE Netlist, device-level netlist and commands for simulation
Electronic design automation (EDA)	    SV 	 S-record, ASCII-coded format for memory dumps
Electronic design automation (EDA)	    UPF 	 Standard Test Interface Language, IEEE1450-1999 standard for Test Patterns for IC
Electronic design automation (EDA)	    V 	 SystemVerilog source file
Electronic design automation (EDA)	    VCD 	 Standard for Power-domain specification in SoC implementation
Electronic design automation (EDA)	    VHD, VHDL 	 Verilog source file
Electronic design automation (EDA)	    WGL 	 Standard format for digital simulation waveform
		 VHDL source file
Test technology	    Standard Test Data Format	 Waveform Generation Language, format for Test Patterns for IC
Database	Database	
Database		
Database	    4DB - 4D database Structure file	
Database	    4DD - 4D database Data file	
Database	    4DIndy - 4D database Structure Index file	
Database	    4DIndx - 4D database Data Index file	
Database	    4DR - 4D database Data resource file (in old 4D versions)	
Database	    ACCDB 	
Database	    ADT 	
Database	    APR 	
Database	    BOX 	
Database	    CHML 	
Database	    DAF 	
Database	    DAT 	
Database	    DAT 	 Microsoft Database (Microsoft Office Access 2007)
Database	    DB 	 Sybase Advantage Database Server (ADS)
Database	    DB 	 Lotus Approach data entry & reports
Database	    DBF 	 Lotus Notes Post Office mail routing database
Database	    EGT 	 Krasbit Technologies Encrypted database file for 1 click integration between contact management software and the chameleon(tm) line of imaging workflow solutions
Database	    ESS 	 Digital Anchor data file
Database	    EAP 	 DOS Basic
Database	    FDB 	 Intersystems Caché database file
Database	    FDB 	 Paradox
Database	    FP, FP3, FP5, and FP7 	 SQLite
Database	    FRM 	 db/dbase II,III,IV and V, Clipper, Harbour/xHarbour, Fox/FoxPro, Oracle
Database	    GDB 	 EGT Universal Document, used to compress sql databases to smaller files, may contain original EGT database style.
Database	    GTABLE 	 EGT SmartSense is a database of files and its compression style. Specific to EGT SmartSense
Database	    KEXI 	 Enterprise Architect Project
Database	    KEXIC 	 Firebird Databases
Database	    LDB 	 Navision database file
Database	    MDB (.mdb, .ldb) 	 FileMaker Pro
Database	    ADP 	 MySQL table definition
Database	    MDE 	 Borland InterBase Databases
Database	    MDF 	 Google Drive Fusion Table
Database	    MYD 	 Kexi database file (SQLite-based)
Database	    MYI 	 shortcut to a database connection for a Kexi databases on a server
